Name,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,county_name,state,year
"Turner County, Georgia",287,8151.0,39.2,34667.0,17149.0,2157.0,26.46301067353699,TURNER,GEORGIA,2016
"Atkinson County, Georgia",003,8268.0,35.3,31296.0,19002.0,2270.0,27.45524915336236,ATKINSON,GEORGIA,2016
"Appling County, Georgia",001,18410.0,38.8,37388.0,19607.0,3694.0,20.06518196632265,APPLING,GEORGIA,2016
"Brantley County, Georgia",025,18403.0,39.9,36837.0,17320.0,3846.0,20.898766505461065,BRANTLEY,GEORGIA,2016
"Ben Hill County, Georgia",017,17405.0,39.1,29510.0,15311.0,5948.0,34.1740879057742,BEN HILL,GEORGIA,2016
"Catoosa County, Georgia",047,65645.0,39.3,52265.0,23834.0,7700.0,11.729758549775307,CATOOSA,GEORGIA,2016
"Chattooga County, Georgia",055,25046.0,40.3,35245.0,17381.0,5182.0,20.689930527828796,CHATTOOGA,GEORGIA,2016
"Columbia County, Georgia",073,139904.0,36.5,71962.0,31004.0,13225.0,9.452910567246112,COLUMBIA,GEORGIA,2016
"Floyd County, Georgia",115,96199.0,38.3,42955.0,22284.0,18192.0,18.910799488560173,FLOYD,GEORGIA,2016
"Forsyth County, Georgia",117,203841.0,38.1,91842.0,37686.0,13024.0,6.389293616102747,FORSYTH,GEORGIA,2016
"Hart County, Georgia",147,25518.0,43.1,37983.0,20866.0,5228.0,20.487499020299396,HART,GEORGIA,2016
"Lowndes County, Georgia",185,113898.0,29.9,38915.0,20428.0,27436.0,24.0882192839207,LOWNDES,GEORGIA,2016
"Meriwether County, Georgia",199,21195.0,42.3,34989.0,19626.0,4943.0,23.321538098608162,MERIWETHER,GEORGIA,2016
"Putnam County, Georgia",237,21259.0,45.3,45762.0,25164.0,3727.0,17.531398466531822,PUTNAM,GEORGIA,2016
"Sumter County, Georgia",261,31070.0,35.0,33534.0,18487.0,9749.0,31.37753459929192,SUMTER,GEORGIA,2016
"Warren County, Georgia",301,5504.0,45.0,31875.0,18381.0,1432.0,26.017441860465116,WARREN,GEORGIA,2016
"Baker County, Georgia",007,3250.0,45.9,45903.0,23001.0,509.0,15.661538461538461,BAKER,GEORGIA,2016
"Butts County, Georgia",035,23479.0,38.5,40753.0,19529.0,4255.0,18.122577622556328,BUTTS,GEORGIA,2016
"Candler County, Georgia",043,10962.0,37.6,33379.0,17750.0,3155.0,28.781244298485678,CANDLER,GEORGIA,2016
"Carroll County, Georgia",045,113756.0,34.1,45486.0,22002.0,21157.0,18.598579415591267,CARROLL,GEORGIA,2016
"Early County, Georgia",099,10480.0,40.3,28599.0,17338.0,3216.0,30.68702290076336,EARLY,GEORGIA,2016
"Crisp County, Georgia",081,23061.0,38.4,31672.0,19943.0,7439.0,32.25792463466458,CRISP,GEORGIA,2016
"Coweta County, Georgia",077,135625.0,37.9,65244.0,29769.0,16138.0,11.898986175115207,COWETA,GEORGIA,2016
"Cobb County, Georgia",067,728388.0,36.2,68818.0,34891.0,83479.0,11.460787382548862,COBB,GEORGIA,2016
"Dade County, Georgia",083,16356.0,40.3,43463.0,21997.0,2502.0,15.297138664710198,DADE,GEORGIA,2016
"Wilkes County, Georgia",317,9924.0,44.7,33462.0,19129.0,2620.0,26.400644901249496,WILKES,GEORGIA,2016
"Brooks County, Georgia",027,15645.0,42.6,34547.0,19665.0,3819.0,24.410354745925215,BROOKS,GEORGIA,2016
"Gordon County, Georgia",129,56079.0,37.0,41390.0,20009.0,11388.0,20.307066816455357,GORDON,GEORGIA,2016
"Elbert County, Georgia",105,19394.0,42.1,35739.0,21039.0,3768.0,19.428689285345982,ELBERT,GEORGIA,2016
"Fayette County, Georgia",113,109495.0,43.5,81689.0,38493.0,7774.0,7.09986757386182,FAYETTE,GEORGIA,2016
"Jenkins County, Georgia",165,9055.0,42.2,27398.0,18288.0,2539.0,28.039757040309222,JENKINS,GEORGIA,2016
"Newton County, Georgia",217,103901.0,36.1,51068.0,22478.0,17415.0,16.761147630917893,NEWTON,GEORGIA,2016
"Greene County, Georgia",133,16535.0,48.3,44299.0,31485.0,3983.0,24.088297550650136,GREENE,GEORGIA,2016
"Colquitt County, Georgia",071,46002.0,35.8,33968.0,17477.0,11305.0,24.5750184774575,COLQUITT,GEORGIA,2016
"Dawson County, Georgia",085,22939.0,42.8,59265.0,29958.0,3028.0,13.20022668817298,DAWSON,GEORGIA,2016
"Clayton County, Georgia",063,270269.0,32.4,42470.0,18728.0,64326.0,23.800731863439758,CLAYTON,GEORGIA,2016
"Hall County, Georgia",139,190482.0,35.8,51902.0,24099.0,33350.0,17.50821599941202,HALL,GEORGIA,2016
"Honolulu County, Hawaii",003,986999.0,37.4,77161.0,32194.0,90359.0,9.154923155950513,HONOLULU,HAWAII,2016
"Maui County, Hawaii",009,162456.0,40.5,68777.0,30599.0,15767.0,9.705397153690846,MAUI,HAWAII,2016
"Kalawao County, Hawaii",005,91.0,56.5,65625.0,45812.0,11.0,12.087912087912088,KALAWAO,HAWAII,2016
"Oneida County, Idaho",071,4269.0,38.9,40564.0,19073.0,582.0,13.633169360505974,ONEIDA,IDAHO,2016
"Gem County, Idaho",045,16853.0,45.4,40767.0,18745.0,3705.0,21.984216459977453,GEM,IDAHO,2016
"Valley County, Idaho",085,9897.0,48.8,53630.0,28133.0,1369.0,13.832474487218349,VALLEY,IDAHO,2016
"Adams County, Idaho",003,3865.0,51.7,41335.0,22741.0,561.0,14.514877102199224,ADAMS,IDAHO,2016
"Bolivar County, Mississippi",011,33615.0,34.9,27457.0,16595.0,12097.0,35.9869106053845,BOLIVAR,MISSISSIPPI,2016
"Daviess County, Missouri",061,8257.0,40.8,43669.0,21356.0,1301.0,15.756327964151629,DAVIESS,MISSOURI,2016
"Holt County, Missouri",087,4537.0,47.8,41017.0,23949.0,614.0,13.53317169936081,HOLT,MISSOURI,2016
"Marion County, Missouri",127,28858.0,39.4,43828.0,22303.0,4734.0,16.404463233765334,MARION,MISSOURI,2016
"Osage County, Missouri",151,13704.0,40.0,54119.0,24097.0,923.0,6.7352597781669585,OSAGE,MISSOURI,2016
"Ripley County, Missouri",181,13936.0,42.2,34145.0,17986.0,3312.0,23.765786452353616,RIPLEY,MISSOURI,2016
"Warren County, Missouri",219,33290.0,40.4,51509.0,24870.0,4506.0,13.535596275157705,WARREN,MISSOURI,2016
"Washington County, Missouri",221,25002.0,40.7,36701.0,18472.0,4678.0,18.71050315974722,WASHINGTON,MISSOURI,2016
"Christian County, Missouri",043,82053.0,37.5,54392.0,25342.0,8935.0,10.889303255213093,CHRISTIAN,MISSOURI,2016
"DeKalb County, Missouri",063,12706.0,40.4,43538.0,17584.0,1296.0,10.199905556430034,DEKALB,MISSOURI,2016
"Harrison County, Missouri",081,8649.0,42.5,41173.0,20434.0,1564.0,18.08301537750029,HARRISON,MISSOURI,2016
"Lafayette County, Missouri",107,32789.0,42.1,50830.0,25008.0,3912.0,11.930830461435237,LAFAYETTE,MISSOURI,2016
"Adair County, Missouri",001,25547.0,27.7,37967.0,19804.0,5929.0,23.20820448584961,ADAIR,MISSOURI,2016
"Scotland County, Missouri",199,4893.0,39.0,41336.0,23626.0,781.0,15.96157776415287,SCOTLAND,MISSOURI,2016
"Sullivan County, Missouri",211,6416.0,41.4,42639.0,20579.0,1037.0,16.16271820448878,SULLIVAN,MISSOURI,2016
"Clark County, Missouri",045,6860.0,43.7,45169.0,25149.0,928.0,13.527696793002915,CLARK,MISSOURI,2016
"Jasper County, Missouri",097,117376.0,35.8,42648.0,22767.0,20393.0,17.37407988004362,JASPER,MISSOURI,2016
"Lewis County, Missouri",111,10146.0,39.3,45708.0,20646.0,1299.0,12.803075103489059,LEWIS,MISSOURI,2016
"McDonald County, Missouri",119,22720.0,37.2,38846.0,18761.0,4636.0,20.404929577464788,MCDONALD,MISSOURI,2016
"Perry County, Missouri",157,19152.0,40.2,53014.0,24658.0,1487.0,7.764202172096909,PERRY,MISSOURI,2016
"Polk County, Missouri",167,31113.0,37.4,42483.0,20553.0,5228.0,16.803265516022243,POLK,MISSOURI,2016
"Ray County, Missouri",177,22921.0,41.6,53459.0,24429.0,3619.0,15.789014440905719,RAY,MISSOURI,2016
"Hill County, Montana",041,16529.0,34.5,42979.0,21070.0,3532.0,21.36850384173271,HILL,MONTANA,2016
"Chouteau County, Montana",015,5837.0,41.1,38735.0,22247.0,1257.0,21.535035120781224,CHOUTEAU,MONTANA,2016
"Lincoln County, Montana",053,19268.0,51.4,35461.0,22404.0,3410.0,17.697737180817935,LINCOLN,MONTANA,2016
"Park County, Montana",067,15843.0,46.4,43385.0,27597.0,1905.0,12.024237833743609,PARK,MONTANA,2016
"Treasure County, Montana",103,846.0,48.9,42500.0,21255.0,162.0,19.148936170212767,TREASURE,MONTANA,2016
"Blaine County, Montana",005,6609.0,34.0,36875.0,17080.0,1856.0,28.082917234074745,BLAINE,MONTANA,2016
"Sweet Grass County, Montana",097,3634.0,48.1,50813.0,26935.0,427.0,11.750137589433132,SWEET GRASS,MONTANA,2016
"Teton County, Montana",099,6067.0,44.6,49047.0,25740.0,631.0,10.400527443547057,TETON,MONTANA,2016
