year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,ARKANSAS,AR,WASHINGTON,204057,31.1,41429,23211,18.82562225,Republican
2012,ARKANSAS,AR,ASHLEY,21811,39.5,38069,20300,16.9868415,Republican
2012,ARKANSAS,AR,CRAIGHEAD,96709,33.1,41054,22806,19.60830946,Republican
2012,ARKANSAS,AR,LAFAYETTE,7618,42.9,28633,16865,22.44683644,Republican
2012,ARKANSAS,AR,PERRY,10413,42.1,42738,22045,13.59838663,Republican
2012,ARKANSAS,AR,POINSETT,24506,39.6,31743,16880,26.23439158,Republican
2012,ARKANSAS,AR,SEVIER,16978,33.9,32081,15888,25.93945105,Republican
2012,ARKANSAS,AR,CALHOUN,5373,42.4,31425,17478,10.31081333,Republican
2012,ARKANSAS,AR,BRADLEY,11510,40.2,32321,19429,25.44743701,Republican
2012,ARKANSAS,AR,LAWRENCE,17314,39.8,32205,15243,24.28092873,Republican
2012,ARKANSAS,AR,POLK,20535,43.4,33479,19192,21.2953494,Republican
2012,ARKANSAS,AR,CONWAY,21203,40.4,32625,19833,23.09578833,Republican
2012,ARKANSAS,AR,NEWTON,8286,46.6,27790,17469,25.83876418,Republican
2012,ARKANSAS,AR,LITTLE RIVER,13068,41.1,39042,20081,14.63116009,Republican
2012,ARKANSAS,AR,LONOKE,68274,35.5,51499,22791,13.00788001,Republican
2012,ARKANSAS,AR,MILLER,43449,37.5,40314,19908,19.54475362,Republican
2012,ARKANSAS,AR,ST. FRANCIS,28089,36.9,30104,15308,23.73170992,Democrat
2012,ARKANSAS,AR,WHITE,77007,36.1,41410,21597,16.77639695,Republican
2012,CALIFORNIA,CA,MERCED,256398,29.7,43565,18343,24.14761426,Democrat
2012,CALIFORNIA,CA,MARIPOSA,18193,49.4,52584,27670,14.54955203,Republican
2012,CALIFORNIA,CA,YUBA,72244,31.9,46641,20016,20.12762306,Republican
2012,CALIFORNIA,CA,CONTRA COSTA,1052047,38.5,78187,38106,10.10449153,Democrat
2012,CALIFORNIA,CA,LASSEN,34628,37.4,51921,19924,10.75430288,Republican
2012,CALIFORNIA,CA,STANISLAUS,515115,32.8,49866,21785,18.99517583,Democrat
2012,CALIFORNIA,CA,SONOMA,483456,39.8,63565,32898,11.36939039,Democrat
2012,CALIFORNIA,CA,TEHAMA,63200,39.6,40307,20259,20.00949367,Republican
2012,CALIFORNIA,CA,MONO,14181,37.1,61868,27135,9.399901276,Democrat
2012,CALIFORNIA,CA,SAN BENITO,55467,34.1,63939,25791,12.62011647,Democrat
2012,CALIFORNIA,CA,SACRAMENTO,1422348,34.9,55846,26856,16.20721511,Democrat
2012,CALIFORNIA,CA,EL DORADO,180441,43.5,70117,34571,8.002061616,Republican
2012,CALIFORNIA,CA,MONTEREY,416199,32.9,60143,24995,15.40681261,Democrat
2012,CALIFORNIA,CA,SIERRA,3163,51.6,42500,24121,16.66139741,Republican
2012,ARKANSAS,AR,CLEBURNE,25849,46.4,39410,22576,16.28689698,Republican
2012,CALIFORNIA,CA,BUTTE,220101,37.3,43339,23556,20.06169895,Republican
2012,CALIFORNIA,CA,PLUMAS,19926,49.4,45358,28329,13.65050688,Republican
2012,CALIFORNIA,CA,SAN LUIS OBISPO,270121,39.3,59628,30218,12.86645614,Democrat
2012,CALIFORNIA,CA,KERN,839153,30.7,47727,20216,21.54303208,Republican
2012,CALIFORNIA,CA,VENTURA,822794,36.4,76483,32826,10.20133837,Democrat
2012,CALIFORNIA,CA,CALAVERAS,45507,49.5,54686,28892,10.20282594,Republican
2012,CALIFORNIA,CA,SAN MATEO,721183,39.3,87751,45458,7.333506197,Democrat
2012,CALIFORNIA,CA,TUOLUMNE,55205,48,48169,26043,12.16918757,Republican
2012,CALIFORNIA,CA,AMADOR,37764,48.4,53462,26969,9.273382057,Republican
2012,COLORADO,CO,PHILLIPS,4380,40.8,45339,21037,17.96803653,Republican
2012,COLORADO,CO,DENVER,604356,33.7,49091,32597,18.56240362,Democrat
2012,COLORADO,CO,KIOWA,1393,40.1,41739,21960,14.71643934,Republican
2012,COLORADO,CO,BACA,3783,47.8,39497,22436,14.01004494,Republican
2012,COLORADO,CO,GILPIN,5358,44.5,62286,35473,10.20903322,Democrat
2012,COLORADO,CO,KIT CARSON,8210,39,42832,20846,10.6090134,Republican
2012,COLORADO,CO,GUNNISON,15385,34.3,50091,28280,15.10562236,Democrat
2012,COLORADO,CO,JEFFERSON,536095,40.2,68748,36069,8.493270782,Democrat
2012,COLORADO,CO,OURAY,4445,52.4,66474,34278,5.961754781,Democrat
2012,COLORADO,CO,RIO BLANCO,6728,36.8,58393,26473,13.12425684,Republican
2012,COLORADO,CO,WELD,253552,33.2,56589,25341,14.03301887,Republican
2012,COLORADO,CO,CONEJOS,8241,38.2,32860,17929,16.97609513,Democrat
2012,COLORADO,CO,COSTILLA,3556,47.4,25309,18856,24.57817773,Democrat
2012,COLORADO,CO,DOUGLAS,286883,36.7,101108,43195,4.021848628,Republican
2012,COLORADO,CO,EAGLE,51850,34.2,71030,38665,9.909353905,Democrat
2012,COLORADO,CO,LA PLATA,51443,37.7,57407,30562,10.71088389,Democrat
2012,COLORADO,CO,MOFFAT,13547,36.4,51008,23974,11.85502325,Republican
2012,COLORADO,CO,RIO GRANDE,11925,41.8,38329,19968,17.37526205,Republican
2012,COLORADO,CO,BENT,6192,40.6,36297,15259,14.72868217,Republican
2012,COLORADO,CO,CROWLEY,5747,39.4,38507,17925,15.20793457,Republican
2012,COLORADO,CO,SAN JUAN,747,37.9,37330,25653,19.54484605,Democrat
2012,COLORADO,CO,JACKSON,1397,46.5,45298,24803,12.24051539,Republican
2012,COLORADO,CO,LOGAN,22541,37.5,41369,22815,15.19897076,Republican
2012,COLORADO,CO,MONTEZUMA,25424,42.8,44102,24731,19.31639396,Republican
2012,COLORADO,CO,TELLER,23163,47.4,57970,29866,8.081854682,Republican
2012,COLORADO,CO,BOULDER,297218,35.6,67403,38283,12.8303131,Democrat
2012,COLORADO,CO,LAS ANIMAS,15385,44.2,41623,21941,17.99805005,Democrat
2012,COLORADO,CO,LINCOLN,5443,39.4,43807,19858,7.330516259,Republican
2012,COLORADO,CO,ROUTT,23385,39.4,65041,35307,7.376523412,Democrat
2012,COLORADO,CO,ALAMOSA,15750,32.2,38045,19657,20.26031746,Democrat
2012,COLORADO,CO,CLEAR CREEK,9059,45.8,60517,36015,9.636825257,Democrat
2012,COLORADO,CO,FREMONT,47006,43,40893,19379,11.43683785,Republican
2012,KENTUCKY,KY,FULTON,6758,42.8,36813,19260,23.06895531,Republican
2012,KENTUCKY,KY,KNOTT,16368,41.1,32482,17826,23.14882698,Republican
2012,KENTUCKY,KY,MUHLENBERG,31399,41,38835,20173,18.38912067,Republican
2012,KENTUCKY,KY,WOLFE,7298,41.3,21168,12528,40.68237873,Republican
2012,KENTUCKY,KY,BELL,28613,41.1,25952,15140,32.13923741,Republican
2012,KENTUCKY,KY,CUMBERLAND,6857,43.3,29885,16117,23.36298673,Republican
2012,KENTUCKY,KY,LEE,7831,41.2,22789,14424,32.93321415,Republican
2012,KENTUCKY,KY,EDMONSON,12141,41.7,35243,18775,18.64755786,Republican
2012,KENTUCKY,KY,BRACKEN,8488,39.7,38724,20788,17.88407163,Republican
2012,KENTUCKY,KY,NELSON,43500,37.5,43722,22579,17.34022989,Republican
2012,KENTUCKY,KY,MARION,19872,38.2,37710,18720,17.23027375,Republican
2012,KENTUCKY,KY,BOONE,119406,35.7,67125,28640,8.204780329,Republican
2012,KENTUCKY,KY,KNOX,31874,38.8,24193,14282,35.05364874,Republican
2012,KENTUCKY,KY,LETCHER,24336,41.3,29532,17544,25.36160421,Republican
2012,KENTUCKY,KY,PIKE,64887,40.5,33227,19570,23.03388969,Republican
2012,KENTUCKY,KY,GALLATIN,8513,39.4,43860,19032,19.91072477,Republican
